side,seen_idx,exec_px,qty,fee,reason,ts,pred,th,gate,pnl,entry_px,entry_idx
buy,5218,0.552,181159.42028985504,0.0,5m BUY signal,2012-04-24 08:45:00,6.677813529968262,0.3,FREE,,,
sell,5232,0.5572,181159.42028985504,0.0,5m SELL signal,2012-04-24 10:05:00,5.945554733276367,0.3,FREE,942.0289855072431,0.552,5218.0
buy,5238,0.5511,183164.63252677777,0.0,5m BUY signal,2012-04-24 10:35:00,7.764268398284912,0.3,FREE,,,
sell,5303,0.5457,183164.63252677777,0.0,5m SELL signal,2012-04-24 16:00:00,5.618923187255859,0.3,FREE,-989.089015644613,0.5511,5238.0
buy,5308,0.5442,183669.4964532573,0.0,5m BUY signal,2012-04-24 16:25:00,7.103112697601318,0.3,FREE,,,
sell,5309,0.5596,183669.4964532573,0.0,5m SELL signal,2012-04-24 16:30:00,5.9310503005981445,0.3,FREE,2828.510245380157,0.5442,5308.0
buy,5325,0.5648,181978.48834143553,0.0,5m BUY signal,2012-04-24 18:35:00,7.057757377624512,0.3,FREE,,,
sell,5332,0.5664,181978.48834143553,0.0,5m SELL signal,2012-04-24 19:30:00,5.439812183380127,0.3,FREE,291.1655813463052,0.5648,5325.0
buy,5565,0.5959,172969.65228492883,0.0,5m BUY signal,2012-04-26 18:30:00,4.342628002166748,-0.5,FREE,,,
sell,6206,0.54,172969.65228492883,0.0,5m SELL signal,2012-05-07 09:35:00,6.207519054412842,-0.5,FREE,-9669.003562727514,0.5959,5565.0
buy,6217,0.5376,173741.8382326294,0.0,5m BUY signal,2012-05-07 10:30:00,11.720059394836426,2.2499999999999996,FREE,,,
sell,6223,0.544,173741.8382326294,0.0,5m SELL signal,2012-05-07 11:00:00,4.395339488983154,-0.5,FREE,1111.9477646888408,0.5376,6217.0
buy,6231,0.54,175028.81481213038,0.0,5m BUY signal,2012-05-07 11:40:00,11.885370254516602,2.2499999999999996,FREE,,,
sell,6241,0.5468,175028.81481213038,0.0,5m SELL signal,2012-05-07 12:30:00,5.019516468048096,-0.5,FREE,1190.1959407224722,0.54,6231.0
buy,6265,0.5469,174996.81100616726,0.0,5m BUY signal,2012-05-07 14:30:00,11.452112197875977,2.2499999999999996,FREE,,,
sell,7093,0.4983,174996.81100616726,0.0,5m SELL signal,2012-05-16 19:40:00,4.274656772613525,-0.5,FREE,-8504.845014899734,0.5469,6265.0
buy,7095,0.4929,176914.0006580912,0.0,ADAPTIVE_FORCE_BUY->first acceptable 5m signal,2012-05-17 07:10:00,3.8112637996673584,-0.5,FORCE_BUY,,,
sell,7221,0.4732,176914.0006580912,0.0,5m SELL signal,2012-05-18 07:00:00,4.0669708251953125,-0.5,FREE,-3485.2058129643956,0.4929,7095.0
buy,7229,0.4709,177778.0953735586,0.0,5m BUY signal,2012-05-18 08:15:00,2.711925745010376,-0.5,FREE,,,
sell,7242,0.4715,177778.0953735586,0.0,5m SELL signal,2012-05-18 09:25:00,4.93796968460083,-0.5,FREE,106.66685722413328,0.4709,7229.0
buy,7305,0.4524,185283.75766718143,0.0,5m BUY signal,2012-05-18 14:40:00,3.343867540359497,-0.5,FREE,,,
sell,7311,0.4568,185283.75766718143,0.0,5m SELL signal,2012-05-18 15:10:00,5.342099189758301,-0.5,FREE,815.2485337355907,0.4524,7305.0
buy,7315,0.45,188083.6011163744,0.0,5m BUY signal,2012-05-18 15:30:00,3.1877083778381348,-0.5,FREE,,,
sell,8324,0.4404,188083.6011163744,0.0,5m SELL signal,2012-06-01 15:10:00,4.107029914855957,-0.5,FREE,-1805.6025707171937,0.45,7315.0
buy,8329,0.4373,189416.9172916791,0.0,5m BUY signal,2012-06-01 15:35:00,9.913895606994629,-0.5,FREE,,,
sell,8432,0.4448,189416.9172916791,0.0,ADAPTIVE_FORCE_SELL->first acceptable 5m signal,2012-06-04 14:30:00,2.7195987701416016,-0.5,FORCE_SELL,1420.626879687584,0.4373,8329.0
buy,8464,0.4395,191701.12585060037,0.0,5m BUY signal,2012-06-05 07:30:00,8.667824745178223,-0.5,FREE,,,
sell,8480,0.4456,191701.12585060037,0.0,5m SELL signal,2012-06-05 09:35:00,7.020438194274902,-0.5,FREE,1169.3768676886612,0.4395,8464.0
buy,8495,0.4474,190929.86517440213,0.0,5m BUY signal,2012-06-05 10:50:00,9.576871871948242,-0.5,FREE,,,
sell,8501,0.4494,190929.86517440213,0.0,5m SELL signal,2012-06-05 11:20:00,8.746936798095703,-0.5,FREE,381.8597303488046,0.4474,8495.0
buy,8505,0.444,193251.98515625298,0.0,5m BUY signal,2012-06-05 11:40:00,9.958733558654785,-0.5,FREE,,,
sell,8530,0.4489,193251.98515625298,0.0,5m SELL signal,2012-06-05 13:45:00,8.803304672241211,-0.5,FREE,946.9347272656426,0.444,8505.0
buy,8542,0.4508,192437.4803386024,0.0,5m BUY signal,2012-06-05 14:45:00,9.6703519821167,-0.5,FREE,,,
sell,8553,0.453,192437.4803386024,0.0,5m SELL signal,2012-06-05 15:40:00,7.39827299118042,-0.5,FREE,423.3624567449321,0.4508,8542.0
buy,8790,0.4844,179963.20931747914,0.0,5m BUY signal,2012-06-07 15:15:00,2.761152505874634,-0.5,FREE,,,
sell,8818,0.4748,179963.20931747914,0.0,5m SELL signal,2012-06-08 08:05:00,9.321537971496582,-0.5,FREE,-1727.6468094477993,0.4844,8790.0
buy,8853,0.4822,177201.4346411014,0.0,5m BUY signal,2012-06-08 11:15:00,3.78629732131958,-0.5,FREE,,,
sell,8874,0.4867,177201.4346411014,0.0,5m SELL signal,2012-06-08 13:00:00,7.064667701721191,-0.5,FREE,797.406455884957,0.4822,8853.0
buy,8887,0.488,176729.38163898373,0.0,5m BUY signal,2012-06-08 14:05:00,3.245605945587158,-0.5,FREE,,,
