bsp2_bi_amp,bsp2_break_bi_amp,bsp2_retrace_rate,bsp2s_bi_amp,bsp2s_break_bi_amp,bsp2s_lv,bsp2s_retrace_rate,bsp3_bi_amp,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_k,macd_dea,macd_diff,macd_value,ppo,rsi,timestamp,type,volume
,,,,,,,0.6544222680135015,0.057692200202455975,0.6544222680135015,,1039,True,False,,0.22046802069651134,0.14500925183817692,-0.15091753771666883,0.010421075287133704,49.64647800918033,2004/02/24,3b,1624907.0
,,,1.0011293503014969,4.858781088056119,3.0,0.26843057572894025,1.0011293503014969,0.06977916123903886,1.0011293503014969,,2140,False,False,,-0.3090027153591602,-0.30727391433215345,0.0034576020540134644,-0.012509942982903663,46.14686121978105,2008/07/09,"2s,3b",2934867.0
,,,,,,,1.0489744809561437,0.06617675909072164,1.0489744809561437,,2432,True,False,,0.25980552419000524,0.16217303551260187,-0.19526497735480675,0.007074650800598701,50.87813029802807,2009/09/03,3b,3327533.0
,,,,,,,0.9048512349025977,0.05144268023988773,0.9048512349025977,,2712,True,False,,0.1333496758509139,0.052385766101778586,-0.16192781949827062,0.00187269830857752,48.16130070750615,2010/10/14,3b,2095433.0
3.824018741025071,6.513223334082255,0.5871161704243778,,,,,3.824018741025071,0.026861913834100085,3.824018741025071,,3148,True,False,,0.38830680984259647,0.08439491335013116,-0.6078237929849306,0.002150314774171492,32.75100030195348,2012/07/09,"2,3b",12661300.0
,,,,,,,2.899190190964397,0.10998924071964672,2.899190190964397,,3616,True,False,,0.09149880492510962,-0.11955501648242262,-0.42210764281506447,-0.002644280320118067,38.708996886957344,2014/05/20,3b,2656200.0
3.847401892314579,9.873044979041161,0.3896874672891672,,,,,3.847401892314579,0.005847944294213882,3.847401892314579,,3850,False,False,,0.09200949483570658,0.2692039791695606,0.3543889686677081,0.005314429941637772,61.13423016517962,2015/04/24,"2,3b",2599700.0
,,,3.530582779460886,9.847051308672157,1.0,0.21130232525366616,3.530582779460886,0.03970822373512513,3.530582779460886,,4100,True,False,,0.3960322499638097,0.08322001176372851,-0.6256244764001624,0.00154612867684168,35.1953706425528,2016/04/21,"2s,3b",4967100.0
1.9921017422318883,8.020035263923347,0.24839064625974794,,,,,1.9921017422318883,0.02286252769665421,1.9921017422318883,,4322,True,False,,0.8760071073435622,0.7766406858812118,-0.19873284292470084,0.013693702589872224,52.70719589181869,2017/03/09,"2,3b",3074500.0
3.1774003082717144,13.748975745057294,0.23110087378065075,,,,,3.1774003082717144,0.12412961448055844,3.1774003082717144,,5363,True,False,,1.529046482218158,1.2192751018125136,-0.6195427608112887,0.014766963401094058,56.29473327258573,2021/04/28,"2,3b",2514600.0
