bsp2s_bi_amp,bsp2s_break_bi_amp,bsp2s_lv,bsp2s_retrace_rate,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_k,macd_dea,macd_diff,macd_value,ppo,rsi,timestamp,type,volume
2.625,13.5,1.0,0.5532407407407407,2.625,,193,False,False,,0.3275839408940223,0.3643913883717218,0.07361489495539897,0.01971625521484561,63.65128581896571,2000/10/06,2s,3625000.0
4.1875,9.46875,1.0,0.11221122112211221,4.1875,,279,True,False,,0.8148040978275064,0.45089276828051794,-0.7278226590939769,0.017658445021056696,46.36412197638625,2001/02/09,2s,1465800.0
10.140625,9.46875,2.0,0.4438943894389439,10.140625,,307,True,False,,-0.10608178863245295,-0.7944826410060841,-1.3768017047472623,-0.030697695963638083,33.245383614465496,2001/03/22,2s,6611600.0
4.399999618530273,9.739999771118164,1.0,0.6380903797366723,4.399999618530273,,400,False,False,,-0.06346213802119312,0.34828417298043135,0.8234926220032489,0.013621797067447693,63.93531674341544,2001/08/03,2s,1471200.0
5.82499885559082,6.875,1.0,0.7389090798117898,5.82499885559082,,546,False,False,,-0.26112056156750174,0.14731658669683156,0.8168742965286666,0.005750357373835627,61.02353038364903,2002/03/11,2s,3235200.0
2.8249988555908203,6.875,2.0,0.4523637251420455,2.8249988555908203,,573,False,False,,-0.21022259482694325,-0.17299453648433172,0.07445611668522306,-0.006764330214214708,51.616159665137204,2002/04/18,2s,2104800.0
3.049999237060547,8.729999542236328,1.0,0.49140884686458525,3.049999237060547,,674,False,False,,-0.0891778952048422,0.05880342293382057,0.29596263627732555,0.002688113964320352,56.831542343649474,2002/09/11,2s,3554800.0
5.700000762939453,10.280000686645508,1.0,0.338521519177109,5.700000762939453,,1112,False,False,,0.42487859593696753,0.6891150965786181,0.5284730012833012,0.023952951010619034,67.91403984542652,2004/06/08,2s,1957200.0
1.3699989318847656,2.8600006103515625,1.0,0.5909091515368158,1.3699989318847656,,1208,True,False,,-0.2644875608524436,-0.23897675163402,0.05102161843684727,-0.014660397837464062,41.18503746722593,2004/10/25,2s,1258300.0
2.1100006103515625,2.6199989318847656,1.0,0.7519084414043333,2.1100006103515625,,1413,True,False,,-0.07253144506133305,-0.19661295941554258,-0.24816302870841905,-0.011181472407745858,36.468698516740524,2005/08/17,2s,1392700.0
1.3500003814697266,2.6199989318847656,2.0,0.23282402736100008,1.3500003814697266,,1470,True,False,,0.014092316660885392,-0.011351303491068165,-0.050887240303907115,-0.0006092861286128555,45.7992411675242,2005/11/07,2s,560300.0
1.1100006103515625,2.760000228881836,1.0,0.22463796660066965,1.1100006103515625,,1583,False,False,,-0.11332594338960741,-0.07333563117663289,0.07998062442594905,-0.003373565413211088,54.33319433198011,2006/04/21,2s,843100.0
3.0799999237060547,10.420000076293945,1.0,0.3330133673654116,3.0799999237060547,,1798,True,False,,-0.07052080626133489,-0.20769968960562935,-0.2743577666885889,-0.007944035247251784,34.23422717631932,2007/03/01,2s,1616100.0
1.4099998474121094,10.420000076293945,2.0,0.18138189787045075,1.4099998474121094,,1820,True,False,,0.11441220285366578,0.0939771797285438,-0.04087004625024396,0.003582077871601482,50.33650929771396,2007/04/02,2s,627100.0
6.659999847412109,10.420000076293945,3.0,0.5259116604714446,6.659999847412109,,1909,True,False,,-0.5749671259371816,-0.8238088892449937,-0.4976835266156243,-0.03229989180240426,32.67892905988711,2007/08/08,2s,3387200.0
1.739999771118164,10.420000076293945,4.0,0.18042218301357787,1.739999771118164,,1937,True,False,,0.26542734348021435,0.16810849332922473,-0.19463770030197924,0.0064150138152094085,52.66894978529389,2007/09/18,2s,1000300.0
5.010000228881836,1.989999771118164,1.0,0.3869339894357794,5.010000228881836,,1994,False,False,,-0.615418359865429,-0.24290945236800354,0.745017814994851,-0.009688657221690955,66.67145825734502,2007/12/07,2s,3992900.0
2.9200000762939453,5.7400007247924805,1.0,0.4285715472466645,2.9200000762939453,,2306,True,False,,-0.09907262041527333,-0.28982928858696155,-0.3815133363433765,-0.015554251476765684,37.92335618522894,2009/03/06,2s,1273100.0
2.740001678466797,3.3500003814697266,1.0,0.9134331417444551,2.740001678466797,,2584,False,False,,0.18425177820963642,0.23088324583748587,0.0932629352556989,0.01016837489535943,67.75090268980784,2010/04/14,2s,858300.0
1.8999996185302734,3.3500003814697266,2.0,0.6567165708722276,1.8999996185302734,,2605,False,False,,-0.1329595105707797,-0.19537176545182788,-0.12482450976209636,-0.008677555892370896,47.506272092403975,2010/05/13,2s,1081700.0
2.0799999237060547,3.3500003814697266,3.0,0.6447760004327119,2.0799999237060547,,2632,False,False,,-0.037357552038875586,0.08274992431216077,0.24021495270207271,0.0037773928798189318,52.60889172426396,2010/06/22,2s,1047200.0
1.779998779296875,3.5,1.0,0.5857140677315849,1.779998779296875,,2858,False,False,,0.0060807835895415555,0.09619034068873233,0.18021911419838155,0.0035328606051834716,56.69547322222427,2011/05/13,2s,509900.0
1.1000003814697266,3.5,2.0,0.4657140459333147,1.1000003814697266,,2870,False,False,,-0.042840683360542885,-0.04511888266840103,-0.004556398615716287,-0.0016652398670996022,49.7471013298558,2011/06/01,2s,1575300.0
1.5700016021728516,3.5,3.0,0.12571443830217635,1.5700016021728516,,2895,False,False,,-0.24869551270843085,-0.10829694024227976,0.2807971449323022,-0.004185043228178877,56.39609097413431,2011/07/07,2s,806200.0
1.7299995422363281,3.309999465942383,1.0,0.8217521910022686,1.7299995422363281,,3142,True,False,,-0.17922524981807714,-0.2582638631609342,-0.1580772266857141,-0.00897211977641739,43.621411430051126,2012/06/28,2s,1023900.0
