side,seen_idx,exec_px,qty,fee,reason,ts,pred,th,gate,pnl,entry_px,entry_idx
buy,644657,476.3,209.95171110644552,0.0,5m BUY signal,2024-01-12 04:50:00,0.09720190614461899,0.04999999999999982,FREE,,,
sell,644700,476.36,209.95171110644552,0.0,5m SELL signal,2024-01-12 08:30:00,3.818074941635132,-0.5,FREE,12.597102666387208,476.3,644657.0
buy,644721,476.0,210.11049811484537,0.0,5m BUY signal,2024-01-12 10:15:00,0.07919353246688843,0.04999999999999982,FREE,,,
sell,644733,476.51,210.11049811484537,0.0,5m SELL signal,2024-01-12 11:15:00,3.2141916751861572,-0.5,FREE,107.15635403856923,476.0,644721.0
buy,644796,476.02,210.3267792460505,0.0,5m BUY signal,2024-01-12 16:30:00,0.17959283292293549,0.04999999999999982,FREE,,,
sell,644862,474.1,210.3267792460505,0.0,5m SELL signal,2024-01-16 06:15:00,3.925122022628784,-0.5,FREE,-403.8274161524084,476.02,644796.0
buy,644905,473.9,210.4155434491508,0.0,5m BUY signal,2024-01-16 09:50:00,1.0943527221679688,-0.0500000000000001,FREE,,,
sell,644978,474.95,210.4155434491508,0.0,5m SELL signal,2024-01-16 15:55:00,3.121044635772705,-0.5,FREE,220.93632062161072,473.9,644905.0
buy,645087,471.82,211.81141613575974,0.0,ADAPTIVE_FORCE_BUY->first acceptable 5m signal,2024-01-17 09:25:00,1.5366922616958618,1.2999999999999996,FORCE_BUY,,,
sell,645233,473.25,211.81141613575974,0.0,5m SELL signal,2024-01-18 05:50:00,2.28906512260437,-0.5,FREE,302.8903250741379,471.82,645087.0
buy,645307,473.41,211.73982950560463,0.0,5m BUY signal,2024-01-18 12:00:00,1.876709222793579,-0.5,FREE,,,
sell,645326,473.6001,211.73982950560463,0.0,5m SELL signal,2024-01-18 13:35:00,1.5588418245315552,-0.5,FREE,40.25174158900965,473.41,645307.0
buy,645641,484.2105,207.1000203998825,0.0,ADAPTIVE_FORCE_BUY->first acceptable 5m signal,2024-01-22 08:05:00,2.4135687351226807,1.2499999999999996,FORCE_BUY,,,
