bsp3_bi_amp,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_k,macd_dea,macd_diff,macd_value,ppo,rsi,timestamp,type,volume
2.1562474454867484,0.0728378137792666,2.1562474454867484,,198,True,False,,0.40487398425805415,0.43329117031219155,0.0568343721082748,0.017980139630383998,50.60334517464564,2000/10/13,3a,4018400.0
1.6821963255267,0.04009059382728043,1.6821963255267,,450,True,False,,0.17538475952258747,0.038539204845026376,-0.2736911093551222,0.0014919333862902784,44.24824020042345,2001/10/19,3a,5717900.0
0.9351549784729158,0.01706176400611236,0.9351549784729158,,1257,True,False,,0.22446414515912455,0.17547444042059368,-0.09797940947706174,0.006030901100045781,49.34588794080199,2005/01/04,3a,3295400.0
0.9537372079842044,0.037953354445321434,0.9537372079842044,,1471,True,False,,0.37429106668864115,0.330936327958284,-0.08670947746071433,0.010017912609930953,55.758251462852456,2005/11/08,3a,5130900.0
2.5593957987880955,0.03125032170042494,2.5593957987880955,,2010,True,False,,0.4092177972347347,0.19634918296662818,-0.4257372285362131,0.004312077658434271,43.521959996791914,2008/01/02,3a,4899100.0
2.3534739796034216,0.11936205496426966,2.3534739796034216,,2419,True,False,,0.34246712965409143,0.20211209992417878,-0.2807100594598253,0.005745264692022233,47.71355340251268,2009/08/17,3a,5760100.0
0.8735652289993681,0.01030668509948337,0.8735652289993681,,3174,True,False,,0.488778417717152,0.4435305632180757,-0.09049570899815262,0.009104567715727374,58.94784470944549,2012/08/14,3a,6920700.0
5.579886576487112,0.020431069829035742,5.579886576487112,,3763,True,False,,0.11003583986871426,-0.41696450915395644,-1.0540006980453414,-0.005913655278209739,36.41882940770126,2014/12/17,3a,6189200.0
2.587025661399366,0.04681090934997601,2.587025661399366,,4146,True,False,,0.2609529926450258,0.19316656007563893,-0.13557286513877376,0.002455085269577933,45.9968607904645,2016/06/27,3a,6381900.0
2.5566426522650687,0.02146000525147994,2.5566426522650687,,4355,True,False,,0.7273054783376478,0.6988759646244915,-0.05685902742631255,0.007949552621209752,57.399399451623886,2017/04/26,3a,5343900.0
2.9432047477120165,0.03428278213683927,2.9432047477120165,,4867,True,False,,1.4821457510781955,1.1761032822536777,-0.6120849376490356,0.011324333311252896,57.4778453389688,2019/05/09,3a,3127200.0
2.7528985244775015,0.09361458169939485,2.7528985244775015,,5270,True,False,,1.4200826612013115,1.3490890084523386,-0.14198730549794591,0.010799198039838824,60.08844385170947,2020/12/11,3a,2975500.0
5.342510303685685,0.05309694415689898,5.342510303685685,,5672,True,False,,1.1937603877631409,1.17223219858883,-0.04305637834862175,0.007660704292491863,51.219497068237395,2022/07/20,3a,3460700.0
