feature,coef,abs_coef
k_range_over_atr,3.793364152220184,3.793364152220184
k_close_pos,-1.39445484092142,1.39445484092142
vix_slope40,1.102453714283599,1.102453714283599
vix_ret1,1.0551303154450433,1.0551303154450433
vix_atr_14,-1.032127965673973,1.032127965673973
k_above_ma_100,0.8962172081047934,0.8962172081047934
vix_range_over_atr,0.8768363978973663,0.8768363978973663
k_vol_20,0.8392059523061292,0.8392059523061292
ctx_days_since_last_bsp,-0.8385073887940356,0.8385073887940356
p,-0.8187318657082625,0.8187318657082625
dp_minK,-0.7803007126187752,0.7803007126187752
k_atr_14,0.6158596897154113,0.6158596897154113
k_vol_10,0.5752749032212542,0.5752749032212542
vix_level,-0.5224684742403976,0.5224684742403976
ctx_days_since_last_buy,0.5098754382720464,0.5098754382720464
vix_above_ma_100,-0.48938711151401304,0.48938711151401304
vix_vol_40,0.4885972804625201,0.4885972804625201
k_above_ma_20,0.4506256521305866,0.4506256521305866
k_ret1,0.43165832063105936,0.43165832063105936
ctx_density_buy,-0.3953279166186923,0.3953279166186923
ctx_last_dir_buy,0.38773877470119067,0.38773877470119067
bd_buy,0.38773877470119067,0.38773877470119067
vix_ret_40,-0.37897625808931723,0.37897625808931723
k_slope40,-0.36050933205538993,0.36050933205538993
vix_vol_10,-0.3590988769008974,0.3590988769008974
k_gap,0.35873635163278705,0.35873635163278705
ctx_density_total,-0.35004564358817924,0.35004564358817924
bd_sell,-0.31124285282804354,0.31124285282804354
ctx_last_dir_sell,-0.31124285282804354,0.31124285282804354
k_ret_5,0.20990076921160206,0.20990076921160206
vix_close_pos,0.20893245576179265,0.20893245576179265
k_ret_40,-0.2032506117171862,0.2032506117171862
vix_gap,-0.19307586908762236,0.19307586908762236
vix_vol_5,0.1699232509100359,0.1699232509100359
k_ret_10,-0.1683559444415246,0.1683559444415246
vix_ret_20,-0.16369811075089313,0.16369811075089313
vix_vol_20,0.16045355098880346,0.16045355098880346
k_vol_5,-0.1379898622391414,0.1379898622391414
k_ret_20,-0.1291545172013565,0.1291545172013565
rg_unknown,0.127112774651214,0.127112774651214
vix_above_ma_50,0.11523135387143929,0.11523135387143929
vix_ret_10,-0.10012186738154312,0.10012186738154312
dp_maxK,-0.09850480984400857,0.09850480984400857
ctx_density_sell,-0.09590626861901566,0.09590626861901566
rg_up,-0.09162688738246233,0.09162688738246233
ctx_has_bsp,0.0764959218731444,0.0764959218731444
ctx_density_imb,0.06703930798549876,0.06703930798549876
ctx_days_since_last_sell,-0.04341678570442119,0.04341678570442119
vix_ret_5,-0.04318307958323916,0.04318307958323916
rg_down,0.041010034604396,0.041010034604396
vix_above_ma_20,-0.012635728293266141,0.012635728293266141
k_above_ma_50,-0.004175095593347398,0.004175095593347398
k_vol_40,-0.0035136984438648602,0.0035136984438648602
bd_none,0.0,0.0
