feature,coef,abs_coef
k_range_over_atr,2.939079313734439,2.939079313734439
vix_atr_14,-1.322842804858337,1.322842804858337
k_close_pos,-1.152142822327098,1.152142822327098
vix_slope40,1.1373977053600615,1.1373977053600615
vix_vol_40,1.0503301843735953,1.0503301843735953
ctx_days_since_last_bsp,-1.046139294974369,1.046139294974369
vix_ret1,0.8080836303933329,0.8080836303933329
k_above_ma_100,0.7709101171250841,0.7709101171250841
vix_range_over_atr,0.7118217156866719,0.7118217156866719
k_ret1,0.6840278227494039,0.6840278227494039
k_vol_10,0.58439713462009,0.58439713462009
p,-0.5532105536153776,0.5532105536153776
k_vol_20,0.5028862484258967,0.5028862484258967
dp_maxK,0.47695205603134183,0.47695205603134183
vix_level,-0.4688315546235514,0.4688315546235514
ctx_days_since_last_buy,0.4434183880177952,0.4434183880177952
vix_ret_10,-0.4396099513107117,0.4396099513107117
vix_ret_40,-0.3936444895845373,0.3936444895845373
ctx_days_since_last_sell,-0.39352521116074773,0.39352521116074773
k_above_ma_20,0.3931711446676277,0.3931711446676277
vix_vol_20,-0.3927195050598603,0.3927195050598603
vix_above_ma_100,-0.35948597666880056,0.35948597666880056
vix_gap,-0.3547986315920206,0.3547986315920206
bd_buy,0.35189534384519855,0.35189534384519855
ctx_last_dir_buy,0.35189534384519855,0.35189534384519855
k_ret_5,0.32548328668732085,0.32548328668732085
k_ret_10,-0.2901385246292451,0.2901385246292451
vix_above_ma_50,0.26617293713603535,0.26617293713603535
vix_vol_5,0.24568339863143182,0.24568339863143182
k_ret_20,-0.23171327467664576,0.23171327467664576
bd_sell,-0.21631493334018606,0.21631493334018606
ctx_last_dir_sell,-0.21631493334018606,0.21631493334018606
ctx_density_sell,-0.21280953825730206,0.21280953825730206
k_vol_40,-0.20880422175507643,0.20880422175507643
ctx_density_total,-0.20506595629594065,0.20506595629594065
k_atr_14,0.18908334638577598,0.18908334638577598
vix_ret_20,-0.18363086463050685,0.18363086463050685
rg_unknown,0.1796491054463713,0.1796491054463713
dp_minK,0.14202086404255293,0.14202086404255293
rg_up,-0.13818036966534913,0.13818036966534913
ctx_has_bsp,0.1355804105050055,0.1355804105050055
k_above_ma_50,0.13389629320836027,0.13389629320836027
k_vol_5,0.1277370953144603,0.1277370953144603
k_gap,0.11988971149982658,0.11988971149982658
k_ret_40,-0.11597964037338258,0.11597964037338258
vix_ret_5,0.10490568422337296,0.10490568422337296
rg_down,0.09411167472398703,0.09411167472398703
vix_close_pos,0.08696624637214481,0.08696624637214481
vix_above_ma_20,0.07483987321160035,0.07483987321160035
vix_vol_10,0.07429770839015673,0.07429770839015673
ctx_density_imb,-0.0741691297233776,0.0741691297233776
k_slope40,0.06301446994950544,0.06301446994950544
ctx_density_buy,0.012045571939899968,0.012045571939899968
bd_none,0.0,0.0
