feature,importance
klu_high,0.09798185
feat_bsp2s_break_bi_amp,0.07358971
feat_bsp2s_break_bi_amp_rate,0.07234129
feat_bsp2s_bi_amp_rate,0.045805413
klu_open,0.045789212
feat_bsp2s_lv,0.036415398
feat_bsp2s_break_bi_klu_cnt,0.035856627
klu_low,0.034998726
feat_zs_cnt,0.03454336
feat_break_bi_amp_rate,0.032378767
feat_bsp3_bi_klu_cnt,0.031469885
feat_break_bi_klu_cnt,0.030179864
feat_bsp1_bi_klu_cnt,0.026746461
klu_close,0.023624301
feat_divergence_rate,0.023202509
feat_macd_dea,0.022863125
feat_bi_amp_rate,0.018492907
feat_bsp2_break_bi_amp_rate,0.01722743
feat_bsp2_bi_amp_rate,0.016787166
feat_bsp3_zs_height,0.016402742
feat_bsp2_break_bi_amp,0.015653452
feat_volume,0.014045925
feat_bsp2_break_bi_bi_klu_cnt,0.0132529745
feat_bsp2s_bi_amp,0.0127324285
feat_level,0.012672457
feat_macd_diff,0.011448132
feat_macd_value,0.010835893
feat_kdj_k,0.010248744
feat_bsp3_bi_amp,0.009988241
feat_break_bi_amp,0.009115959
feat_ppo,0.009019269
lower_shadow,0.008927312
feat_rsi,0.008123432
feat_bsp2s_bi_klu_cnt,0.00807858
feat_bsp1_bi_amp,0.007976482
dmi_adx,0.007938835
feat_bsp2_retrace_rate,0.0077269776
feat_bi_klu_cnt,0.0075341673
dmi_plus,0.007329771
dmi_minus,0.006992982
feat_bi_amp,0.006944713
feat_bsp2_bi_klu_cnt,0.006867487
feat_kdj_d,0.006680717
feat_bsp1_bi_amp_rate,0.0064882278
feat_bsp2_bi_amp,0.0061940686
upper_shadow,0.005262882
feat_bsp2s_retrace_rate,0.005201406
high_low_spread_pct,0.004830225
feat_kdj_j,0.0046817935
feat_bsp3_bi_amp_rate,0.004257559
price_change_pct,0.0041124998
body_size,0.001866039
is_bullish_candle,0.00027364396
feat_bsp_bi_amp,0.0
is_buy,0.0
kdj_k,0.0
is_segbsp,0.0
kdj_d,0.0
kdj_j,0.0
klu_volume,0.0
macd_dif,0.0
macd_dea,0.0
macd_value,0.0
rsi,0.0
