date,decision_date,result_date,p_day,p_day_source_date,daily_gate_mode,daily_reward_mode,direct_gate_confidence,direct_gate_prob_force_buy,direct_gate_prob_free,direct_gate_prob_force_sell,buy_level,sell_level,chosen_action,reward_force_buy,reward_free,reward_force_sell,chosen_reward,best_action_ex_post,oracle_equity,close,buy_th_5m,sell_th_5m
2012-02-10,2012-02-10,2012-02-13,0.22883623154954272,2012-02-10,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,63.03,0.3,0.3
2012-02-13,2012-02-13,2012-02-14,0.21106184661406666,2012-02-13,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,63.35,0.3,0.3
2012-02-14,2012-02-14,2012-02-15,0.20958783065353134,2012-02-14,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,62.6,0.3,0.3
2012-02-15,2012-02-15,2012-02-16,0.24736271584180577,2012-02-15,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,63.72,0.3,0.3
2012-02-16,2012-02-16,2012-02-17,0.20711502205943008,2012-02-16,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,63.52,0.3,0.3
2012-02-17,2012-02-17,2012-02-21,0.22508682754494602,2012-02-17,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,63.62,0.3,0.3
2012-02-21,2012-02-21,2012-02-22,0.22073672144401327,2012-02-21,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,63.28,0.3,0.3
2012-02-22,2012-02-22,2012-02-23,0.2310147711894995,2012-02-22,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,63.97,0.3,0.3
2012-02-23,2012-02-23,2012-02-24,0.21741804587034252,2012-02-23,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,63.9,0.3,0.3
2012-02-24,2012-02-24,2012-02-27,0.2262945305000804,2012-02-24,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,64.05,0.3,0.3
2012-02-27,2012-02-27,2012-02-28,0.22703664650488484,2012-02-27,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,64.68,0.3,0.3
2012-02-28,2012-02-28,2012-02-29,0.20580585172146823,2012-02-28,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,64.46,0.3,0.3
