date,equity,cash,pos,qty,entry_px,decision_date,result_date,buy_th,sell_th,p_day,p_day_source_date,daily_gate_mode,daily_reward_mode,direct_gate_confidence,direct_gate_prob_force_buy,direct_gate_prob_free,direct_gate_prob_force_sell,daily_action,daily_buy_level,daily_sell_level,decision_extreme_base_dir,decision_extreme_region,decision_extreme_label,decision_extreme_window_end_date,decision_extreme_ref_high,decision_extreme_ref_low,decision_extreme_future_max_high,decision_extreme_future_min_low
2012-02-13,100000.0,100000.0,0,0.0,,2012-02-10,2012-02-13,0.3,0.3,0.22883623154954272,2012-02-10,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-02-17,62.64,62.25,63.86,62.63
2012-02-14,100000.0,100000.0,0,0.0,,2012-02-13,2012-02-14,0.3,0.3,0.21106184661406666,2012-02-13,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-02-21,63.13,62.65,63.89,62.63
2012-02-15,100000.0,100000.0,0,0.0,,2012-02-14,2012-02-15,0.3,0.3,0.20958783065353134,2012-02-14,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-02-22,63.22,62.69,63.89,62.63
2012-02-16,100000.0,100000.0,0,0.0,,2012-02-15,2012-02-16,0.3,0.3,0.24736271584180577,2012-02-15,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-02-23,63.86,62.67,63.89,62.63
2012-02-17,100000.0,100000.0,0,0.0,,2012-02-16,2012-02-17,0.3,0.3,0.20711502205943008,2012-02-16,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-02-24,63.7,62.63,64.07,63.09
2012-02-21,100000.0,100000.0,0,0.0,,2012-02-17,2012-02-21,0.3,0.3,0.22508682754494602,2012-02-17,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-02-27,63.69,63.15,64.26,63.09
2012-02-22,100000.0,100000.0,0,0.0,,2012-02-21,2012-02-22,0.3,0.3,0.22073672144401327,2012-02-21,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-02-28,63.89,63.21,64.7,63.09
2012-02-23,100000.0,100000.0,0,0.0,,2012-02-22,2012-02-23,0.3,0.3,0.2310147711894995,2012-02-22,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-02-29,63.68,63.23,64.96,63.09
2012-02-24,100000.0,100000.0,0,0.0,,2012-02-23,2012-02-24,0.3,0.3,0.21741804587034252,2012-02-23,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-01,63.81,63.09,64.98,63.33
2012-02-27,100000.0,100000.0,0,0.0,,2012-02-24,2012-02-27,0.3,0.3,0.2262945305000804,2012-02-24,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-02,64.07,63.8,65.08,63.33
2012-02-28,100000.0,100000.0,0,0.0,,2012-02-27,2012-02-28,0.3,0.3,0.22703664650488484,2012-02-27,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-05,64.26,63.33,65.08,63.99
2012-02-29,100000.0,100000.0,0,0.0,,2012-02-28,2012-02-29,0.3,0.3,0.20580585172146823,2012-02-28,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-06,64.7,64.03,65.08,63.23
2012-03-01,100000.0,100000.0,0,0.0,,2012-02-29,2012-03-01,0.3,0.3,0.24060017831978242,2012-02-29,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-07,64.96,64.2,65.08,63.23
2012-03-02,100000.0,100000.0,0,0.0,,2012-03-01,2012-03-02,0.3,0.3,0.20809869762544234,2012-03-01,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-08,64.98,64.46,65.08,63.23
2012-03-05,100000.0,100000.0,0,0.0,,2012-03-02,2012-03-05,0.3,0.3,0.2257352081966658,2012-03-02,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-09,65.08,64.66,65.14,63.23
2012-03-06,100000.0,100000.0,0,0.0,,2012-03-05,2012-03-06,0.3,0.3,0.2396090839046091,2012-03-05,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-12,64.91,63.99,65.14,63.23
2012-03-07,100000.0,100000.0,0,0.0,,2012-03-06,2012-03-07,0.3,0.3,0.23535988733389213,2012-03-06,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-13,63.72,63.23,66.26,63.77
2012-03-08,100000.0,100000.0,0,0.0,,2012-03-07,2012-03-08,0.3,0.3,0.21172936473413706,2012-03-07,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-14,64.21,63.77,66.74,64.3
2012-03-09,100000.0,100000.0,0,0.0,,2012-03-08,2012-03-09,0.3,0.3,0.21625600805947598,2012-03-08,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-15,64.94,64.3,66.82,64.72
2012-03-12,100000.0,100000.0,0,0.0,,2012-03-09,2012-03-12,0.3,0.3,0.21864673621816408,2012-03-09,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-16,65.14,64.82,66.82,64.72
2012-03-13,100000.0,100000.0,0,0.0,,2012-03-12,2012-03-13,0.3,0.3,0.23579910091032508,2012-03-12,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-19,65.11,64.72,67.15,65.27
2012-03-14,100000.0,100000.0,0,0.0,,2012-03-13,2012-03-14,0.3,0.3,0.22901215114940984,2012-03-13,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-20,66.26,65.27,67.18,66.08
2012-03-15,100000.0,100000.0,0,0.0,,2012-03-14,2012-03-15,0.3,0.3,0.22607498214992186,2012-03-14,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-21,66.74,66.08,67.49,66.35
2012-03-16,100000.0,100000.0,0,0.0,,2012-03-15,2012-03-16,0.3,0.3,0.23412369488758744,2012-03-15,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-22,66.82,66.35,67.49,66.36
2012-03-19,100000.0,100000.0,0,0.0,,2012-03-16,2012-03-19,0.3,0.3,0.227545035672433,2012-03-16,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-23,66.67,66.36,67.49,66.45
2012-03-20,100000.0,100000.0,0,0.0,,2012-03-19,2012-03-20,0.3,0.3,0.23711983663779568,2012-03-19,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-26,67.15,66.45,68.11,66.46
2012-03-21,100000.0,100000.0,0,0.0,,2012-03-20,2012-03-21,0.3,0.3,0.23116810187832404,2012-03-20,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-27,67.18,66.46,68.49,66.56
2012-03-22,100000.0,100000.0,0,0.0,,2012-03-21,2012-03-22,0.3,0.3,0.21891979426536656,2012-03-21,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-28,67.49,67.03,68.51,66.56
2012-03-23,100000.0,100000.0,0,0.0,,2012-03-22,2012-03-23,0.3,0.3,0.23774947325016338,2012-03-22,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-29,67.14,66.68,68.51,66.56
2012-03-26,100000.0,100000.0,0,0.0,,2012-03-23,2012-03-26,0.3,0.3,0.23862545499335153,2012-03-23,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-30,67.08,66.56,68.51,67.2
2012-03-27,100000.0,100000.0,0,0.0,,2012-03-26,2012-03-27,0.3,0.3,0.2511133144229626,2012-03-26,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-04-02,68.11,67.33,68.51,67.2
2012-03-28,100000.0,100000.0,0,0.0,,2012-03-27,2012-03-28,0.3,0.3,0.23168746908649238,2012-03-27,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-04-03,68.49,68.13,68.55,67.2
2012-03-29,100000.0,100000.0,0,0.0,,2012-03-28,2012-03-29,0.3,0.3,0.2285771599879182,2012-03-28,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-04-04,68.51,67.54,68.55,66.91
2012-03-30,100000.0,100000.0,0,0.0,,2012-03-29,2012-03-30,0.3,0.3,0.23933915000191494,2012-03-29,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-04-05,67.93,67.2,68.55,66.91
2012-04-02,100000.0,100000.0,0,0.0,,2012-03-30,2012-04-02,0.3,0.3,0.23102160901110436,2012-03-30,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-04-09,68.02,67.28,68.55,66.76
2012-04-03,100000.0,100000.0,0,0.0,,2012-04-02,2012-04-03,0.3,0.3,0.23364720863238206,2012-04-02,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-04-10,68.34,67.36,68.55,65.92
2012-04-04,100000.0,100000.0,0,0.0,,2012-04-03,2012-04-04,0.3,0.3,0.23431982911492014,2012-04-03,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_held,1.0,2012-04-11,68.55,67.85,67.78,65.92
2012-04-05,100000.0,100000.0,0,0.0,,2012-04-04,2012-04-05,0.3,0.3,0.2373899041749592,2012-04-04,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-04-12,67.76,66.91,67.78,65.92
2012-04-09,100000.0,100000.0,0,0.0,,2012-04-05,2012-04-09,0.3,0.3,0.2517988601854971,2012-04-05,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_held,1.0,2012-04-13,67.78,67.13,67.48,65.92
2012-04-10,98223.78543802639,98223.78543802639,0,0.0,,2012-04-09,2012-04-10,0.3,0.3,0.23671236598443013,2012-04-09,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_held,1.0,2012-04-16,67.48,66.76,67.44,65.24
2012-04-11,98149.93296777224,98149.93296777224,0,0.0,,2012-04-10,2012-04-11,-0.5,0.725000000000001,0.2218148304257599,2012-04-10,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_held,1.0,2012-04-17,67.44,65.92,67.28,65.24
2012-04-12,98576.16793081346,0.0,1,1466.6890035830006,67.09,2012-04-11,2012-04-12,-0.5,1.0050000000000012,0.24437479726983288,2012-04-11,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-04-18,66.89,66.28,67.28,65.24
