date,decision_date,result_date,p_day,p_day_source_date,daily_gate_mode,daily_reward_mode,direct_gate_confidence,direct_gate_prob_force_buy,direct_gate_prob_free,direct_gate_prob_force_sell,buy_level,sell_level,chosen_action,reward_force_buy,reward_free,reward_force_sell,chosen_reward,best_action_ex_post,oracle_equity,close,buy_th_5m,sell_th_5m
2013-12-31,2013-12-31,2014-01-02,0.21744998149388398,2013-12-31,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.2639,0.3,0.3
2014-01-02,2014-01-02,2014-01-03,0.21689133970543228,2014-01-02,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.2335,0.3,0.3
2014-01-03,2014-01-03,2014-01-06,0.2237698245509144,2014-01-03,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.222,0.3,0.3
2014-01-06,2014-01-06,2014-01-07,0.22712886348674188,2014-01-06,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.25,0.3,0.3
2014-01-07,2014-01-07,2014-01-08,0.23933773767555921,2014-01-07,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.265,0.3,0.3
2014-01-08,2014-01-08,2014-01-09,0.22490695611633651,2014-01-08,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.2534,0.3,0.3
2014-01-09,2014-01-09,2014-01-10,0.22714711287910191,2014-01-09,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.2641,0.3,0.3
2014-01-10,2014-01-10,2014-01-13,0.23130727182698715,2014-01-10,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.2109,0.3,0.3
2014-01-13,2014-01-13,2014-01-14,0.24904593975492798,2014-01-13,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.2775,0.3,0.3
2014-01-14,2014-01-14,2014-01-15,0.24640937750200212,2014-01-14,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.3042,0.3,0.3
2014-01-15,2014-01-15,2014-01-16,0.23833370591846303,2014-01-15,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.2958,0.3,0.3
2014-01-16,2014-01-16,2014-01-17,0.23465229422877373,2014-01-16,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.2854,0.3,0.3
2014-01-17,2014-01-17,2014-01-21,0.24052470236535592,2014-01-17,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.3099,0.3,0.3
2014-01-21,2014-01-21,2014-01-22,0.2340230811896872,2014-01-21,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.3403,0.3,0.3
2014-01-22,2014-01-22,2014-01-23,0.23227484549209887,2014-01-22,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.3183,0.3,0.3
2014-01-23,2014-01-23,2014-01-24,0.23527217405915943,2014-01-23,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.2221,0.3,0.3
2014-01-24,2014-01-24,2014-01-27,0.27451103461626736,2014-01-24,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.171,0.3,0.3
2014-01-27,2014-01-27,2014-01-28,0.29209755486182376,2014-01-27,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.2135,0.3,0.3
2014-01-28,2014-01-28,2014-01-29,0.27584820978151225,2014-01-28,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,1.1792,0.3,0.3
