date,equity,cash,pos,qty,entry_px,decision_date,result_date,buy_th,sell_th,p_day,p_day_source_date,daily_gate_mode,daily_reward_mode,direct_gate_confidence,direct_gate_prob_force_buy,direct_gate_prob_free,direct_gate_prob_force_sell,daily_action,daily_buy_level,daily_sell_level,decision_extreme_base_dir,decision_extreme_region,decision_extreme_label,decision_extreme_window_end_date,decision_extreme_ref_high,decision_extreme_ref_low,decision_extreme_future_max_high,decision_extreme_future_min_low
2014-01-02,100000.0,100000.0,0,0.0,,2013-12-31,2014-01-02,0.3,0.3,0.21744998149388398,2013-12-31,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_held,1.0,2014-01-08,1.2928,1.274,1.276,1.2077
2014-01-03,100000.0,100000.0,0,0.0,,2014-01-02,2014-01-03,0.3,0.3,0.21689133970543228,2014-01-02,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-01-09,1.276,1.2515,1.2777,1.2077
2014-01-06,100000.0,100000.0,0,0.0,,2014-01-03,2014-01-06,0.3,0.3,0.2237698245509144,2014-01-03,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-01-10,1.2659,1.2344,1.2777,1.2077
2014-01-07,100000.0,100000.0,0,0.0,,2014-01-06,2014-01-07,0.3,0.3,0.22712886348674188,2014-01-06,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-01-13,1.24,1.2077,1.2777,1.1922
2014-01-08,100000.0,100000.0,0,0.0,,2014-01-07,2014-01-08,0.3,0.3,0.23933773767555921,2014-01-07,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-01-14,1.2604,1.2316,1.2779,1.1922
2014-01-09,100000.0,100000.0,0,0.0,,2014-01-08,2014-01-09,0.3,0.3,0.22490695611633651,2014-01-08,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-01-15,1.2736,1.2475,1.3142,1.1922
2014-01-10,100000.0,100000.0,0,0.0,,2014-01-09,2014-01-10,0.3,0.3,0.22714711287910191,2014-01-09,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-01-16,1.2777,1.2377,1.3142,1.1922
2014-01-13,100000.0,100000.0,0,0.0,,2014-01-10,2014-01-13,0.3,0.3,0.23130727182698715,2014-01-10,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-01-17,1.2668,1.2321,1.3142,1.1922
2014-01-14,100000.0,100000.0,0,0.0,,2014-01-13,2014-01-14,0.3,0.3,0.24904593975492798,2014-01-13,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-01-21,1.2704,1.1922,1.3156,1.2188
2014-01-15,100000.0,100000.0,0,0.0,,2014-01-14,2014-01-15,0.3,0.3,0.24640937750200212,2014-01-14,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-01-22,1.2779,1.2188,1.3333,1.2755
2014-01-16,100000.0,100000.0,0,0.0,,2014-01-15,2014-01-16,0.3,0.3,0.23833370591846303,2014-01-15,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-01-23,1.3142,1.2875,1.3333,1.2755
2014-01-17,100000.0,100000.0,0,0.0,,2014-01-16,2014-01-17,0.3,0.3,0.23465229422877373,2014-01-16,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-01-24,1.3128,1.297,1.3333,1.2319
2014-01-21,100000.0,100000.0,0,0.0,,2014-01-17,2014-01-21,0.3,0.3,0.24052470236535592,2014-01-17,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-01-27,1.3062,1.2755,1.3333,1.1708
2014-01-22,100000.0,100000.0,0,0.0,,2014-01-21,2014-01-22,0.3,0.3,0.2340230811896872,2014-01-21,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-01-28,1.3156,1.2815,1.3333,1.1708
2014-01-23,100000.0,100000.0,0,0.0,,2014-01-22,2014-01-23,0.3,0.3,0.23227484549209887,2014-01-22,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_held,1.0,2014-01-29,1.3333,1.3125,1.3125,1.1496
2014-01-24,100000.0,100000.0,0,0.0,,2014-01-23,2014-01-24,0.3,0.3,0.23527217405915943,2014-01-23,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_held,1.0,2014-01-30,1.3125,1.2833,1.2971,1.1496
2014-01-27,100000.0,100000.0,0,0.0,,2014-01-24,2014-01-27,0.3,0.3,0.27451103461626736,2014-01-24,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_held,1.0,2014-01-31,1.2971,1.2319,1.2394,1.1496
2014-01-28,100000.0,100000.0,0,0.0,,2014-01-27,2014-01-28,0.3,0.3,0.29209755486182376,2014-01-27,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_held,1.0,2014-02-03,1.2394,1.1708,1.2327,1.1181
2014-01-29,100000.0,100000.0,0,0.0,,2014-01-28,2014-01-29,0.3,0.3,0.27584820978151225,2014-01-28,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-02-04,1.199,1.1729,1.2327,1.1181
2014-01-30,100000.0,100000.0,0,0.0,,2014-01-29,2014-01-30,0.3,0.3,0.27283250351031435,2014-01-29,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-02-05,1.1902,1.1496,1.2327,1.1042
2014-01-31,100000.0,100000.0,0,0.0,,2014-01-30,2014-01-31,0.3,0.3,0.29011301563991765,2014-01-30,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_held,1.0,2014-02-06,1.2327,1.1956,1.2281,1.1042
2014-02-03,100000.0,100000.0,0,0.0,,2014-01-31,2014-02-03,0.3,0.3,0.2682228843980716,2014-01-31,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-02-07,1.2281,1.1763,1.2523,1.1042
2014-02-04,100000.0,100000.0,0,0.0,,2014-02-03,2014-02-04,0.3,0.3,0.31013507937010043,2014-02-03,threshold,counterfactual_5m,,,,,FORCE_SELL,0.2,0.3,sell,sell_high_broken,0.0,2014-02-10,1.2212,1.1181,1.2731,1.1042
2014-02-05,100000.0,100000.0,0,0.0,,2014-02-04,2014-02-05,0.3,0.3,0.2917063871157833,2014-02-04,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-02-11,1.1652,1.1344,1.3223,1.1042
2014-02-06,100000.0,100000.0,0,0.0,,2014-02-05,2014-02-06,0.3,0.3,0.2862603413000973,2014-02-05,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2014-02-12,1.1552,1.1042,1.3312,1.1517
2014-02-07,100000.0,100000.0,0,0.0,,2014-02-06,2014-02-07,0.3,0.3,0.3066821365354652,2014-02-06,threshold,counterfactual_5m,,,,,FORCE_SELL,0.2,0.3,sell,sell_high_broken,0.0,2014-02-13,1.1906,1.1517,1.3552,1.1963
