bsp2_bi_amp,bsp2_break_bi_amp,bsp2_retrace_rate,bsp3_bi_amp,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_k,macd_dea,macd_diff,macd_value,ppo,rsi,timestamp,type,volume
0.279998779296875,0.37999725341796875,0.7368442186841208,,,0.279998779296875,,265,True,False,,-0.010788524992797574,-0.03161307942556135,-0.04164910886552756,-0.0005150840521309158,29.474621963930474,2025/06/16 17:59,2,1696.0
0.09999847412109375,0.20000076293945312,0.4999904632932156,,,0.09999847412109375,,675,True,False,,0.0024070384690347444,-0.00028777618908293334,-0.0053896293162353556,-4.78392842881566e-06,47.22559111652535,2025/06/17 18:28,2,5908.0
0.3899993896484375,0.6100006103515625,0.6393426220076543,,,0.3899993896484375,,919,False,False,,0.03504264886055432,0.042661787639076465,0.015238277557044294,0.000691866935260699,67.1013880784526,2025/06/18 16:20,2,1959.0
0.20000076293945312,0.3900032043457031,0.5128182556217417,,,0.20000076293945312,,1095,True,False,,-0.0481352118423312,-0.04184546605394246,0.012579491576777485,-0.0006806191351726174,43.460571510415804,2025/06/18 19:18,2,2090.0
0.6100006103515625,0.6407012939453125,0.9520826883231323,,,0.6100006103515625,,1163,False,False,,0.08119965811094149,0.0937706314653397,0.025141946708796437,0.001515170224052643,60.06640799804022,2025/06/20 13:58,2,4219.0
0.09200286865234375,0.5320014953613281,0.172937236933623,0.09200286865234375,0.003640813779871842,0.09200286865234375,,1280,True,False,,0.015686200404493506,0.01086927659292769,-0.00963384762313163,0.00017505459632417874,53.25601073601982,2025/06/20 16:07,"2,3b",2926.0
0.1100006103515625,0.2650032043457031,0.4150916236018944,,,0.1100006103515625,,1348,False,False,,-0.03434317674197605,-0.03711101600556077,-0.005535678527169435,-0.0005974241599396874,43.806118619015656,2025/06/20 17:15,2,8965.0
0.10999679565429688,0.14999771118164062,0.7333231606520688,,,0.10999679565429688,,1408,True,False,,-0.0015377776465506224,-0.007328512314380475,-0.011581469335659705,-0.00011842098411306218,41.52717462733509,2025/06/20 18:15,2,7825.0
0.14500045776367188,0.6399993896484375,0.2265634313234628,0.14500045776367188,0.00207188768966877,0.14500045776367188,,1602,False,False,,-0.07362284540618455,-0.05125338887561526,0.044738913061138585,-0.0008247090649857603,47.28047466557694,2025/06/23 15:07,"2,3b",3119.0
0.2700004577636719,0.4900016784667969,0.5510194548894131,,,0.2700004577636719,,1705,True,False,,-0.01354753090694651,-0.008752863442609282,0.009589334928674455,-0.00014146515893789696,47.5393973322436,2025/06/23 16:56,2,2988.0
