bsp1_bi_amp,bsp1_bi_amp_rate,bsp1_bi_klu_cnt,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_d,kdj_j,kdj_k,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
4.1100006103515625,0.018770553910890376,26,4.1100006103515625,1.172377053205548,473,False,False,91.18156277551148,101.13044114968392,94.49785556690229,0.6440851667176638,0.7390879803698454,0.1900056273043631,0.00954859377270144,0.0033378149398295472,75.79333913947697,2025/05/20 15:15,1p,1816.0
3.7249908447265625,0.016711489218148936,26,3.7249908447265625,1.2260953283619689,551,True,False,26.181939283387685,53.55799315149132,35.30729057275556,-0.4675215808354998,-0.47133470569306724,-0.007626249715134925,0.006775410469600322,-0.002136729199297705,34.76032901031034,2025/05/21 15:50,1p,7148.0
1.82000732421875,0.008289339335290557,15,1.82000732421875,0.7647375124471173,590,False,False,88.78369865422314,71.48759771845141,83.01833167563257,0.18165427906859083,0.2608627458184287,0.15841693349967578,0.02615416215202821,0.0011824631286873567,60.941880392318666,2025/05/21 19:20,1p,8299.0
1.470001220703125,0.0067505568414081615,17,1.470001220703125,0.10882670953869003,708,False,False,77.57512885491548,104.89454531632038,86.68160100871711,0.32454891153260246,0.30992494980338847,-0.02924792345842797,0.007526314503673128,0.001417843076879618,63.184607705785446,2025/05/23 16:50,1p,1234.0
2.910003662109375,0.01331870378025333,19,2.910003662109375,1.4882790735375075,751,True,False,8.803252308143868,0.023866435411651565,5.876790350566463,-0.39264446141100573,-0.584116518693321,-0.3829441145646306,0.006957973778919981,-0.0026876977887359222,13.825575209646502,2025/05/27 14:25,1p,1068.0
2.239990234375,0.010354984090850736,25,2.239990234375,2.988857214782447,786,False,False,68.44898177712388,86.00232545115966,74.3000963351358,0.20401854855414187,0.24473198245587469,0.08142686780346564,0.017615258454120444,0.0011243300403807341,66.98588551384394,2025/05/27 17:35,1p,8215.0
3.4900054931640625,0.01612607671514551,103,3.4900054931640625,0.9584591651354515,961,True,False,47.69005251414086,-8.249829621903245,29.043425135459493,-0.07115053184288943,-0.1483065805795718,-0.15431209747336475,0.016413894219675547,-0.000693087111182513,32.783542237533155,2025/05/29 19:35,1p,19543.0
7.980010986328125,0.036413466614548425,31,7.980010986328125,1.6448155047596333,1278,False,False,86.33503775241776,97.84230776853028,90.17079442445527,1.4278665062945248,1.4901082088338171,0.12448340507858457,0.005547526696330151,0.006646073905548816,72.1723989880593,2025/06/05 15:00,1p,17604.0
3.760009765625,0.016755837200955945,94,3.760009765625,1.0558935047041182,1699,False,False,53.0941419041257,50.83800560793249,52.34209647206129,0.08497538795427337,0.03592835161248331,-0.09809407268358011,0.020950204692211316,0.00015823114785334813,46.56139722767213,2025/06/13 13:40,1p,14926.0
7.4315948486328125,0.03349753213472633,76,7.4315948486328125,0.9932616591965638,2592,True,False,28.421497594128496,9.633533568840988,22.158842919032658,-1.0205820245853077,-0.9641853634242636,0.11279332232208805,0.0372001982287504,-0.004458364081006587,36.75786969906584,2025/07/03 15:30,1p,4926.0
2.9149932861328125,0.01342881645449497,39,2.9149932861328125,0.31745991158036985,2832,False,False,56.1430921827713,85.65898928726057,65.98172455093439,0.20924913269686587,0.2719293164215344,0.12536036744933704,0.009068777924187364,0.00124430260408809,62.49213683958813,2025/07/10 14:05,1p,937.0
